etat,bucket,file,dur,start,end,src
CORTEX,AMBIANCE,A43_v3_cortex_ambiance.wav,19.691,1440.076,1459.767,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,AMBIANCE,A44_v3_cortex_ambiance.wav,16.786,1460.731,1477.518,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,AMBIANCE,A45_v3_cortex_ambiance.wav,14.641,1488.078,1502.72,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,AMBIANCE,A46_v3_cortex_ambiance.wav,25.933,1510.086,1536.019,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,AMBIANCE,A47_v3_cortex_ambiance.wav,3.949,1543.981,1547.93,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,AMBIANCE,A48_v3_cortex_ambiance.wav,51.854,1560.163,1612.017,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,AMBIANCE,A49_v3_cortex_ambiance.wav,32.035,1619.982,1652.017,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,AMBIANCE,A50_v3_cortex_ambiance.wav,58.035,1655.983,1714.018,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,AMBIANCE,A51_v3_cortex_ambiance.wav,60.035,1717.983,1778.018,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,AMBIANCE,A52_v3_cortex_ambiance.wav,58.783,1801.047,1859.83,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,AMBIANCE,A53_v3_cortex_ambiance.wav,29.512,1864.062,1893.574,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,AMBIANCE,A54_v3_cortex_ambiance.wav,53.664,1920.126,1973.79,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,AMBIANCE,A55_v3_cortex_ambiance.wav,28.746,1976.11,2004.856,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,AMBIANCE,A56_v3_cortex_ambiance.wav,59.861,2010.012,2069.873,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,AMBIANCE,A57_v3_cortex_ambiance.wav,12.828,2072.19,2085.018,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,AMBIANCE,A58_v3_cortex_ambiance.wav,20.61,2091.261,2111.871,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,AMBIANCE,A59_v3_cortex_ambiance.wav,59.736,2119.989,2179.725,ambiance opacité fin V6 Cortex ambiance.wav
