etat,bucket,file,dur,start,end,src
CORTEX,FRAGMENTS,C001_v2_cortex.wav,16.454,0.0,16.454,opacité fin V2  Cortex.wav
CORTEX,ECART,C002_v2_cortex.wav,1.996,36.134,38.129,opacité fin V2  Cortex.wav
CORTEX,ECART,C003_v2_cortex.wav,5.276,40.044,45.32,opacité fin V2  Cortex.wav
CORTEX,ECART,C004_v2_cortex.wav,0.996,61.086,62.082,opacité fin V2  Cortex.wav
CORTEX,ECART,C005_v2_cortex.wav,0.965,82.502,83.467,opacité fin V2  Cortex.wav
CORTEX,ECART,C006_v2_cortex.wav,11.39,124.839,136.229,opacité fin V2  Cortex.wav
CORTEX,ECART,C007_v2_cortex.wav,0.684,137.636,138.321,opacité fin V2  Cortex.wav
CORTEX,ECART,C008_v2_cortex.wav,5.264,140.602,145.866,opacité fin V2  Cortex.wav
CORTEX,ECART,C009_v2_cortex.wav,1.799,147.783,149.582,opacité fin V2  Cortex.wav
CORTEX,ECART,C010_v2_cortex.wav,2.808,156.316,159.124,opacité fin V2  Cortex.wav
CORTEX,FRAGMENTS,C011_v2_cortex.wav,14.536,161.079,175.615,opacité fin V2  Cortex.wav
CORTEX,ECART,C012_v2_cortex.wav,2.454,176.719,179.173,opacité fin V2  Cortex.wav
CORTEX,ECART,C013_v2_cortex.wav,10.03,183.987,194.016,opacité fin V2  Cortex.wav
CORTEX,ECART,C014_v2_cortex.wav,8.524,196.158,204.682,opacité fin V2  Cortex.wav
CORTEX,FRAGMENTS,C015_v2_cortex.wav,17.465,208.247,225.712,opacité fin V2  Cortex.wav
CORTEX,ECART,C016_v2_cortex.wav,10.345,229.991,240.336,opacité fin V2  Cortex.wav
CORTEX,ECART,C017_v2_cortex.wav,6.956,242.001,248.957,opacité fin V2  Cortex.wav
CORTEX,ECART,C018_v2_cortex.wav,8.027,249.981,258.008,opacité fin V2  Cortex.wav
CORTEX,ECART,C019_v2_cortex.wav,8.073,259.985,268.058,opacité fin V2  Cortex.wav
CORTEX,FRAGMENTS,C020_v2_cortex.wav,21.897,269.983,291.881,opacité fin V2  Cortex.wav
CORTEX,ECART,C021_v2_cortex.wav,11.967,295.981,307.948,opacité fin V2  Cortex.wav
CORTEX,FRAGMENTS,C022_v2_cortex.wav,23.289,316.004,339.293,opacité fin V2  Cortex.wav
CORTEX,FRAGMENTS,C023_v2_cortex.wav,23.874,344.06,367.934,opacité fin V2  Cortex.wav
CORTEX,FRAGMENTS,C024_v2_cortex.wav,21.779,372.141,393.92,opacité fin V2  Cortex.wav
CORTEX,ECART,C025_v2_cortex.wav,8.887,394.982,403.869,opacité fin V2  Cortex.wav
