fichier,etat,bucket,duree,src,t_debut,t_fin,famille,tags,usage_prefere,notes
A01_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,19.954,ambiance opacité fin V6 Cortex ambiance.wav,0.0,19.954,,,,
A02_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,17.67,ambiance opacité fin V6 Cortex ambiance.wav,24.193,41.862,,,,
A03_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,3.023,ambiance opacité fin V6 Cortex ambiance.wav,43.375,46.398,,,,
A04_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,37.218,ambiance opacité fin V6 Cortex ambiance.wav,49.993,87.211,,,,
A05_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,4.182,ambiance opacité fin V6 Cortex ambiance.wav,95.602,99.784,,,,
A06_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,16.465,ambiance opacité fin V6 Cortex ambiance.wav,180.072,196.538,,,,
A07_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,5.312,ambiance opacité fin V6 Cortex ambiance.wav,200.098,205.41,,,,
A08_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,5.946,ambiance opacité fin V6 Cortex ambiance.wav,221.454,227.4,,,,
A09_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,3.961,ambiance opacité fin V6 Cortex ambiance.wav,231.716,235.676,,,,
A10_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,2.188,ambiance opacité fin V6 Cortex ambiance.wav,242.852,245.04,,,,
A11_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,2.808,ambiance opacité fin V6 Cortex ambiance.wav,264.316,267.124,,,,
A12_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,14.536,ambiance opacité fin V6 Cortex ambiance.wav,269.079,283.615,,,,
A13_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,2.454,ambiance opacité fin V6 Cortex ambiance.wav,284.719,287.173,,,,
A14_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,4.836,ambiance opacité fin V6 Cortex ambiance.wav,296.072,300.908,,,,
A15_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,2.749,ambiance opacité fin V6 Cortex ambiance.wav,358.086,360.835,,,,
A16_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,5.092,ambiance opacité fin V6 Cortex ambiance.wav,431.057,436.149,,,,
A17_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,5.931,ambiance opacité fin V6 Cortex ambiance.wav,446.678,452.609,,,,
A18_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,2.271,ambiance opacité fin V6 Cortex ambiance.wav,495.417,497.689,,,,
A19_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,3.551,ambiance opacité fin V6 Cortex ambiance.wav,501.381,504.932,,,,
A20_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,5.092,ambiance opacité fin V6 Cortex ambiance.wav,551.057,556.149,,,,
