# source | comportement | variante | cible | layer
H077_v3_hippocampe | RELIER | succession | H077_v3_hippocampe | 2
H073_v3_hippocampe | APPELER | sans_reponse | - | 0
H049_v3_hippocampe | REPONDRE | immediate | H049_v3_hippocampe | 3
H016_v3_hippocampe | REPONDRE | spatiale | H016_v3_hippocampe | 4
H049_v3_hippocampe | DISPARAITRE | nette | - | 3
H058_v3_hippocampe | REPONDRE | spatiale | H058_v3_hippocampe | 4
H060_v3_hippocampe | REPONDRE | immediate | H060_v3_hippocampe | 3
H060_v3_hippocampe | DISPARAITRE | nette | - | 3
H015_v3_hippocampe | REPONDRE | immediate | H015_v3_hippocampe | 3
H010_v3_hippocampe | REPONDRE | spatiale | H010_v3_hippocampe | 4
H010_v3_hippocampe | DISPARAITRE | nette | - | 4
H005_v3_hippocampe | REPONDRE | spatiale | H005_v3_hippocampe | 4
H005_v3_hippocampe | DISPARAITRE | nette | - | 4
H029_v3_hippocampe | REPONDRE | spatiale | H029_v3_hippocampe | 4
H032_v3_hippocampe | REPONDRE | immediate | H032_v3_hippocampe | 3
H032_v3_hippocampe | DISPARAITRE | nette | - | 3
